6,1,1,3,0,0,female,germany,train
3,0,1,2,1,1,male,the-netherlands,train
5,0,0,1,0,0,female,spain,train
4,0,1,1,0,0,female,italy,train
4,0,1,0,0,0,female,italy,train
4,1,0,3,1,0,female,germany,train
4,0,0,1,0,0,male,germany,train
6,1,0,1,0,0,female,germany,train
4,0,1,1,0,1,male,germany,train
5,1,1,0,0,0,male,germany,train
2,0,1,2,0,0,female,russia,train
2,0,0,0,0,0,male,germany,train
0,1,0,0,0,0,female,italy,train
2,0,1,1,0,0,female,new-delhi,train
3,0,1,4,0,0,male,poland,train
7,1,0,3,0,0,male,portugal,train
8,0,0,0,0,0,female,russia,train
4,0,0,3,0,0,male,germany,train
1,1,2,0,0,0,male,iran,train
5,0,2,3,0,0,male,portugal,train
1,0,1,1,0,1,female,portugal,train
5,1,1,2,0,0,male,the-netherlands,train
3,0,0,1,1,0,female,germany,train
0,0,1,4,0,0,female,new-delhi,train
3,0,0,3,0,0,female,poland,train
8,0,0,4,0,0,male,the-netherlands,train
4,0,0,2,1,0,female,new-delhi,train
3,2,0,5,0,1,female,the-netherlands,train
1,0,0,0,0,1,male,the-netherlands,train
2,0,2,3,0,0,female,the-netherlands,train
5,1,0,3,0,1,female,germany,train
0,1,1,2,0,0,female,italy,train
0,0,1,0,0,0,female,iran,train
6,1,0,2,0,0,female,germany,train
3,0,1,0,0,0,male,russia,train
6,0,1,1,0,0,female,poland,train
5,1,1,2,0,0,female,the-netherlands,train
10,1,1,1,0,0,female,germany,train
5,0,2,1,0,0,male,russia,train
3,0,1,3,0,0,female,germany,train
1,0,1,0,0,0,male,the-netherlands,train
7,0,1,2,0,0,male,poland,train
3,0,1,2,0,1,male,germany,train
8,0,0,3,0,1,male,the-netherlands,train
3,0,0,1,0,0,male,the-netherlands,train
3,2,2,4,1,0,female,iran,train
2,1,0,4,0,0,female,spain,train
3,0,1,3,0,0,male,the-netherlands,train
4,0,0,3,0,0,male,poland,train
4,1,1,1,1,0,female,germany,train
0,0,0,2,0,0,male,the-netherlands,train
4,1,3,0,0,1,female,russia,train
2,1,3,3,0,0,male,new-delhi,train
3,0,1,1,0,0,female,spain,train
0,0,1,3,0,0,male,russia,train
4,1,2,1,0,0,female,spain,train
4,0,1,0,0,0,female,spain,train
6,0,1,0,0,0,male,germany,train
2,2,1,0,0,0,male,poland,train
