6,1,1,3,0,0,germany,female,train
3,0,1,2,1,1,the-netherlands,male,train
5,0,0,1,0,0,spain,female,train
4,0,1,1,0,0,italy,female,train
4,0,1,0,0,0,italy,female,train
4,1,0,3,1,0,germany,female,train
4,0,0,1,0,0,germany,male,train
6,1,0,1,0,0,germany,female,train
4,0,1,1,0,1,germany,male,train
5,1,1,0,0,0,germany,male,train
2,0,1,2,0,0,russia,female,train
2,0,0,0,0,0,germany,male,train
0,1,0,0,0,0,italy,female,train
2,0,1,1,0,0,new-delhi,female,train
3,0,1,4,0,0,poland,male,train
7,1,0,3,0,0,portugal,male,train
8,0,0,0,0,0,russia,female,train
4,0,0,3,0,0,germany,male,train
1,1,2,0,0,0,iran,male,train
5,0,2,3,0,0,portugal,male,train
1,0,1,1,0,1,portugal,female,train
5,1,1,2,0,0,the-netherlands,male,train
3,0,0,1,1,0,germany,female,train
0,0,1,4,0,0,new-delhi,female,train
3,0,0,3,0,0,poland,female,train
8,0,0,4,0,0,the-netherlands,male,train
4,0,0,2,1,0,new-delhi,female,train
3,2,0,5,0,1,the-netherlands,female,train
1,0,0,0,0,1,the-netherlands,male,train
2,0,2,3,0,0,the-netherlands,female,train
5,1,0,3,0,1,germany,female,train
0,1,1,2,0,0,italy,female,train
0,0,1,0,0,0,iran,female,train
6,1,0,2,0,0,germany,female,train
3,0,1,0,0,0,russia,male,train
6,0,1,1,0,0,poland,female,train
5,1,1,2,0,0,the-netherlands,female,train
10,1,1,1,0,0,germany,female,train
5,0,2,1,0,0,russia,male,train
3,0,1,3,0,0,germany,female,train
1,0,1,0,0,0,the-netherlands,male,train
7,0,1,2,0,0,poland,male,train
3,0,1,2,0,1,germany,male,train
8,0,0,3,0,1,the-netherlands,male,train
3,0,0,1,0,0,the-netherlands,male,train
3,2,2,4,1,0,iran,female,train
2,1,0,4,0,0,spain,female,train
3,0,1,3,0,0,the-netherlands,male,train
4,0,0,3,0,0,poland,male,train
4,1,1,1,1,0,germany,female,train
0,0,0,2,0,0,the-netherlands,male,train
4,1,3,0,0,1,russia,female,train
2,1,3,3,0,0,new-delhi,male,train
3,0,1,1,0,0,spain,female,train
0,0,1,3,0,0,russia,male,train
4,1,2,1,0,0,spain,female,train
4,0,1,0,0,0,spain,female,train
6,0,1,0,0,0,germany,male,train
2,2,1,0,0,0,poland,male,train
1,1,1,4,0,0,the-netherlands,male,train
5,1,1,2,0,0,germany,female,train
3,0,0,3,3,0,portugal,male,train
1,0,2,1,1,0,the-netherlands,male,train
7,1,1,1,0,1,poland,male,train
7,0,0,2,0,0,germany,male,train
1,1,2,1,0,0,the-netherlands,male,train
1,2,1,2,0,1,germany,male,train
1,1,2,3,0,0,poland,female,train
5,0,2,1,0,0,new-delhi,male,train
1,0,1,2,0,0,new-delhi,male,train
1,0,1,3,0,1,portugal,female,train
3,1,0,0,0,0,new-delhi,male,train
2,0,0,3,0,0,portugal,male,train
1,1,1,0,0,0,new-delhi,female,train
6,0,2,0,0,0,the-netherlands,female,train
1,0,0,1,0,0,poland,female,train
3,0,0,1,0,0,germany,male,train
3,0,1,5,0,0,portugal,male,train
1,0,1,2,0,0,spain,female,train
3,1,1,0,0,0,germany,female,train
8,0,0,1,0,0,germany,female,train
1,1,4,1,0,0,the-netherlands,male,train
0,0,0,3,0,0,the-netherlands,male,train
2,0,0,1,0,0,new-delhi,male,train
3,0,1,0,0,0,germany,male,train
7,1,1,1,0,0,germany,female,train
7,0,0,2,0,1,poland,male,train
2,0,1,1,0,0,italy,male,train
4,0,1,1,0,0,new-delhi,female,train
5,1,0,3,0,0,poland,male,train
6,0,2,0,0,0,the-netherlands,male,train
2,1,1,2,0,0,portugal,female,train
4,0,0,0,0,0,iran,male,train
5,0,1,4,0,0,poland,female,train
5,0,1,1,0,0,germany,male,train
6,0,1,3,0,0,the-netherlands,male,train
5,2,0,1,0,0,the-netherlands,male,train
7,0,1,0,0,1,the-netherlands,male,train
6,0,0,2,0,1,iran,male,train
3,0,0,0,0,1,the-netherlands,male,train
6,0,0,1,0,2,germany,male,train
2,0,1,2,0,0,portugal,male,train
6,0,0,0,0,0,iran,male,train
