sent_length,capitalization,articles,mult_negs,has_svo,has_sov,has_vos,has_vso,has_ovs,has_osv,color_special,color_regular,filler,hedges,swearwords,sentiment,min_response,adjectives,punct_?,punct_!,y_label,extra_label,set_type
21.428571428571427,2.2142857142857144,1.3571428571428572,0.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,8.0,6.0,5.0,-0.044775132275132266,0.0,2.642857142857143,6.0,3.0,female,germany,train
27.272727272727273,2.6363636363636362,1.5454545454545454,1.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,7.0,6.0,8.0,0.18146293641423514,1.0,2.909090909090909,2.0,4.0,male,the-netherlands,train
15.0,1.7,0.35,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,11.0,0.0033333333333333296,0.0,1.35,9.0,4.0,female,spain,train
17.647058823529413,3.4705882352941178,0.8823529411764706,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,0.1850044563279857,0.0,1.2352941176470589,2.0,11.0,female,italy,train
37.5,5.5,2.875,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.009024669526901674,0.0,3.125,0.0,1.0,female,italy,train
23.076923076923077,3.3846153846153846,1.3076923076923077,0.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,18.0,13.0,5.0,0.13557921245421245,0.0,1.1538461538461537,2.0,1.0,female,germany,train
17.647058823529413,2.764705882352941,0.8823529411764706,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,5.0,8.0,0.18878676470588232,0.0,0.8823529411764706,2.0,10.0,male,germany,train
37.5,3.0,2.625,1.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,12.0,0.10074540043290044,2.0,3.25,1.0,2.0,female,germany,train
27.272727272727273,2.909090909090909,1.8181818181818181,1.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,6.0,7.0,0.19354338842975205,0.0,2.1818181818181817,0.0,4.0,male,germany,train
20.0,1.9333333333333333,1.5333333333333334,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,5.0,0.018446969696969698,0.0,2.0,4.0,0.0,male,germany,train
11.11111111111111,2.185185185185185,0.5555555555555556,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.12615490219656886,1.0,1.1481481481481481,2.0,3.0,female,russia,train
27.272727272727273,7.090909090909091,0.2727272727272727,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.11186868686868685,0.0,1.5454545454545454,4.0,4.0,male,germany,train
300.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.8000000000000003,0.0,0.0,0.0,0.0,female,italy,train
37.5,10.625,0.875,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.2949810606060606,0.0,1.125,0.0,0.0,female,new-delhi,train
20.0,2.8,1.3333333333333333,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,0.26458513708513703,1.0,0.8,1.0,1.0,male,poland,train
21.428571428571427,1.2142857142857142,1.3571428571428572,0.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,4.0,9.0,0.43479308390022675,0.0,1.6428571428571428,4.0,7.0,male,portugal,train
13.636363636363637,2.4545454545454546,0.7727272727272727,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,0.14178719008264462,0.0,0.9090909090909091,2.0,10.0,female,russia,train
13.043478260869565,1.565217391304348,0.8695652173913043,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,3.0,9.0,0.18709533220402785,1.0,0.8260869565217391,0.0,0.0,male,germany,train
50.0,6.166666666666667,1.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.17291181041181045,0.0,6.333333333333333,0.0,1.0,male,iran,train
23.076923076923077,0.9230769230769231,1.3846153846153846,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,12.0,11.0,4.0,0.03629807692307692,0.0,1.9230769230769231,1.0,0.0,male,portugal,train
21.428571428571427,1.6428571428571428,0.7857142857142857,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,5.0,5.0,0.12181122448979591,0.0,1.5,1.0,8.0,female,portugal,train
18.75,1.5625,1.25,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,9.0,9.0,0.11611276455026455,1.0,1.1875,3.0,3.0,male,the-netherlands,train
37.5,3.25,1.5,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,3.0,0.32447916666666665,0.0,3.0,3.0,0.0,female,germany,train
6.818181818181818,1.4318181818181819,0.2727272727272727,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.10362258953168045,0.0,0.7954545454545454,1.0,3.0,female,new-delhi,train
33.333333333333336,3.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,5.0,4.0,0.11146622474747475,0.0,2.4444444444444446,1.0,5.0,female,poland,train
10.344827586206897,1.4482758620689655,0.7241379310344828,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,8.0,12.0,0.14853172529896666,0.0,0.8275862068965517,0.0,11.0,male,the-netherlands,train
